image,link,title,alt
/static/portals/free-to-use/public-domain/lgbtq/LGBTQ-1.jpg,https://guides.loc.gov/LGBTQ-subject,Research guides can help you explore Library of Congress resources for LGBTQ+ Studies.,Laptop screen open to the Research Guide
/static/portals/free-to-use/public-domain/lgbtq/LGBTQ-2.jpg,/resource/ppmsca.52127/,"Jack Baker and Michael McConnell at home, 1970",Jack Baker and Michael McConnell sit together on a couch.
/static/portals/free-to-use/public-domain/lgbtq/LGBTQ-4.jpg,/resource/ppmsc.01272/,"Civil rights leader Bayard Rustin, 1963",Bayard Rustin sits next to another man at a table.
/static/portals/free-to-use/public-domain/lgbtq/LGBTQ-5.jpg,/resource/ppmsca.07387/,"Walt Whitman and Peter Doyle, 1865","Walt Whitman and Peter Doyle face each other for a photographic portrait while wearing hats. 
"
/static/portals/free-to-use/public-domain/lgbtq/LGBTQ-6.jpg,/resource/highsm.21341/,"Gay Pride Parade, San Francisco, California, 2012",Brightly costumed people parade along an avenue.
/static/portals/free-to-use/public-domain/lgbtq/LGBTQ-7.jpg,https://chroniclingamerica.loc.gov/lccn/sn78000090/1947-02-14/ed-1/seq-5/,"Legal theorist and activist Pauli Murray, 1947 (Chronicling America)",Newsprint image of Pauli Murray accompanied by text.
/static/portals/free-to-use/public-domain/lgbtq/LGBTQ-8.jpg,/resource/ppmsca.09729/,"Gay rights demonstration, 1976",A group of mostly men holds signs and walks together along a street.
/static/portals/free-to-use/public-domain/lgbtq/LGBTQ-10.jpg,/resource/van.5a51683/,"Writer James Baldwin, 1955",James Baldwin sits for a photographic portrait in front of a draped backdrop.
/static/portals/free-to-use/public-domain/lgbtq/LGBTQ-11.jpg,/resource/highsm.13502/,"AIDS quilt, Washington, D.C., 1990s",People walk among large fabric panels laid out near the U.S. Capitol Building.
/static/portals/free-to-use/public-domain/lgbtq/LGBTQ-12.jpg,/resource/cph.3b10391/,"Dr. Mary Edwards Walker, U.S. Army surgeon and suffragist, 1912",Mary Edwards Walker stands for a photographic portrait wearing a tuxedo and a top hat.
/static/portals/free-to-use/public-domain/lgbtq/LGBTQ-13.jpg,/item/afc2001001.05208/,Gay rights activist Frank Kameny,Frank Kameny poses for a photographic portrait wearing a U.S. Army uniform.
/static/portals/free-to-use/public-domain/lgbtq/LGBTQ-14.jpg,/resource/agc.7a10216/,"Poet Edna St. Vincent Millay, 1914",Edna St. Vincent Millay stands outdoors and grasps the branches of a flowering tree.
/static/portals/free-to-use/public-domain/lgbtq/LGBTQ-15.jpg,https://chroniclingamerica.loc.gov/lccn/sn83045462/1959-03-31/ed-1/seq-2/,"Transgender activist Christine Jorgensen with her fiancé, Howard Knox, 1959 (Chronicling America)",Newsprint image of Christine Jorgensen and Howard Knox accompanied by text.
/static/portals/free-to-use/public-domain/lgbtq/LGBTQ-16.jpg,/resource/agc.7a08462/,Writer Mercedes de Acosta,Mercedes de Acosta poses for a photographic portrait wearing an ornate necklace.
/static/portals/free-to-use/public-domain/lgbtq/LGBTQ-17.jpg,/resource/gtfy.03649/,"Dr. Oliver Sacks, physician and author, 1985",Oliver Sacks poses for a photographic portrait wearing a lab coat and holding a reflex hammer.
/static/portals/free-to-use/public-domain/lgbtq/LGBTQ-18.jpg,/resource/gtfy.01656/,"Artist Keith Haring, 1985",Keith Haring poses for a photographic portrait while holding a paintbrush.
/static/portals/free-to-use/public-domain/lgbtq/LGBTQ-19.jpg,/resource/gottlieb.08211.0,"Jazz composer and pianist Billy Strayhorn, 1946 (Music Division)",Billy Strayhorn sits next to a piano while holding sheet music.
/static/portals/free-to-use/public-domain/lgbtq/LGBTQ-20.jpg,/resource/van.5a52158/,"Writers Christopher Isherwood and W.H. Auden, 1939",Christopher Isherwood and W.H. Auden sit together for a photographic portrait.
/static/portals/free-to-use/public-domain/lgbtq/LGBTQ-21.jpg,/resource/ppmsca.09571/,"Blues singer Bessie Smith, 1936",Bessie Smith poses for a photographic portrait while holding feathers in front of a floral backdrop.
/static/portals/free-to-use/public-domain/lgbtq/LGBTQ-22.jpg,/resource/cph.3b24474/,"Writer Natalie Clifford Barney, 1890-1910",Natalie Clifford Barney sits for a photographic portrait in a billowy dress.
/static/portals/free-to-use/public-domain/lgbtq/LGBTQ-23.jpg,/resource/yan.1a38732/,"A new era for women workers, minority women and lesbians, 1976",Poster shows a group of nine women with different occupations and heritages.
/static/portals/free-to-use/public-domain/lgbtq/LGBTQ-24.jpg,/resource/van.5a52038/,"Pianists Arthur Gold and Robert Fizdal, 1952",Arthur Gold and Robert Fizdal pose in formal attire for a photographic portrait with sheet music between them.
/static/portals/free-to-use/public-domain/lgbtq/LGBTQ-28.jpg,/resource/cph.3c16636/,"Sculptor Emma Stebbins, 1856",Emma Stebbins stands for a photographic portrait wearing a patterned dress.
/static/portals/free-to-use/public-domain/lgbtq/LGBTQ-26.jpg,/resource/van.5a51608/,"Choreographer and dancer Alvin Ailey, 1955",Alvin Ailey poses for a photographic portrait with his head up and back to the camera.
/static/portals/free-to-use/public-domain/lgbtq/LGBTQ-27.jpg,/resource/cph.3g13411/,"Actress Charlotte Cushman, 1859",Charlotte Cushman sits for a photographic portrait wearing an elegant
/static/portals/free-to-use/public-domain/lgbtq/LGBTQ-25.jpg,/resource/ppmsca.38981/,"Photographer Frances Benjamin Johnston, 1896","Frances Benjamin Johnston poses for a photographic self-portrait with a cigarette, a beer stein, and her skirt raised."
